scenario,cycle,t,mode,fail_reason,gps_pos_fresh,gps_motion_fresh,imu_gyrz_fresh,imu_yaw_fresh,baro_sink_fresh,acc_fresh,nav_valid,nav_E,nav_N,nav_V,nav_course_deg,dr_current_E,dr_current_N,dr_confidence,dr_age_s,dr_method,l1_valid,l1_reason,l1out_valid,l1out_reason,yaw_rate_cmd_dps,yaw_rate_limit_dps,ctrl_valid,ctrl_reason,delta_arm_deg,produce_l1input_mutated_dr,decide_calls,truth_E,truth_N,truth_course_deg,truth_V,est_distance_to_target,truth_distance_to_target,distance_error_m,target_bearing_est_deg,target_bearing_truth_deg,nu_est_deg,nu_truth_deg,abs_nu_est_deg,abs_nu_truth_deg,closing_rate_est_mps,closing_rate_truth_mps,distance_decreasing_est,distance_decreasing_truth,yaw_cmd_sign_correct_est,yaw_cmd_sign_correct_truth,target_pointing_ok,baro_sink_spike,speed_clamped,dr_speed_source,jump_current_unchanged
D_DR_PM_YBA_OPEN,3,1005.8000000000001,DR_PM_YBA_OPEN,DR_PM_YBA_OPEN,False,False,False,True,True,True,True,4.840000000000101,2.963645253936656e-16,4.4,90.0,4.840000000000101,2.963645253936656e-16,0.9839999999999987,5.800000000000068,YAW_ACC_BLEND,True,DR_PM_YBA_OPEN,True,DR_PM_YBA_OPEN,-10.631791262251255,20.0,True,OK,-39.045214732830104,False,1,23.200000000000184,1.4205902870109412e-15,90.0,4.0,77.77548199786347,60.21826965298803,17.55721234487544,75.09895328356035,70.60218755144172,-14.901046716439652,-19.397812448558284,14.901046716439652,19.397812448558284,4.2520340794427245,3.7729413566556307,True,True,True,True,True,False,False,SPEED_BARO,
D_DR_PM_YBA_OPEN,4,1006.0,DR_PM_YBA_OPEN,DR_PM_YBA_OPEN,False,False,False,True,True,True,True,5.719999999999801,3.502489845561308e-16,4.4,90.0,5.719999999999801,3.502489845561308e-16,0.98,6.0,YAW_ACC_BLEND,True,DR_PM_YBA_OPEN,True,DR_PM_YBA_OPEN,-10.705582962179097,20.0,True,OK,-39.4211317639988,False,1,24.000000000000185,1.4695761589768354e-15,90.0,4.0,76.92540802621738,59.46427498927385,17.461133036943536,74.93040535988703,70.34617594194664,-15.069594640112964,-19.65382405805336,15.069594640112964,19.65382405805336,4.248687246333636,3.7669676463793484,True,True,True,True,True,False,False,SPEED_BARO,
D_DR_PM_YBA_OPEN,5,1006.2,DR_PM_YBA_OPEN,DR_PM_YBA_OPEN,False,False,False,True,True,True,True,6.600000000000001,4.041334437186266e-16,4.4,90.0,6.600000000000001,4.041334437186266e-16,0.9759999999999991,6.2000000000000455,YAW_ACC_BLEND,True,DR_PM_YBA_OPEN,True,DR_PM_YBA_OPEN,-10.78092732979707,20.0,True,OK,-39.80629757363764,False,1,24.800000000000185,1.5185620309427296e-15,90.0,4.0,76.07601461696059,58.711498022107904,17.364516594852688,74.7580922211981,70.08359400619085,-15.241907778801906,-19.916405993809146,15.241907778801906,19.916405993809146,4.245227640092472,3.7607624986311317,True,True,True,True,True,False,False,SPEED_BARO,
D_DR_PM_YBA_OPEN,6,1006.4000000000001,DR_PM_YBA_OPEN,DR_PM_YBA_OPEN,False,False,False,True,True,True,True,7.480000000000201,4.580179028811224e-16,4.4,90.0,7.480000000000201,4.580179028811224e-16,0.9719999999999982,6.400000000000091,YAW_ACC_BLEND,True,DR_PM_YBA_OPEN,True,DR_PM_YBA_OPEN,-10.857871586575406,20.0,True,OK,-40.20103360651151,False,1,25.600000000000186,1.5675479029086238e-15,90.0,4.0,75.22732482283263,57.959986197375684,17.267338625456944,74.58188949904361,69.8141969905351,-15.418110500956384,-20.18580300946491,15.418110500956384,20.18580300946491,4.241650234824662,3.7543142135850225,True,True,True,True,True,False,False,SPEED_BARO,
D_DR_PM_YBA_OPEN,7,1006.6,DR_PM_YBA_OPEN,DR_PM_YBA_OPEN,False,False,False,True,True,True,True,8.359999999999902,5.119023620435876e-16,4.4,90.0,8.359999999999902,5.119023620435876e-16,0.9679999999999995,6.600000000000023,YAW_ACC_BLEND,True,DR_PM_YBA_OPEN,True,DR_PM_YBA_OPEN,-10.936464773051737,20.0,True,OK,-40.60567536812574,False,1,26.400000000000187,1.616533774874518e-15,90.0,4.0,74.37936272918728,57.209789372099415,17.169573357087863,74.40166744081047,69.53772847657774,-15.598332559189531,-20.462271523422267,15.598332559189531,20.462271523422267,4.23794972736848,3.7476103714613527,True,True,True,True,True,False,False,SPEED_BARO,
E_DR_TIMEOUT,0,1005.2,FAIL,DR_TIMEOUT,False,False,True,True,True,True,False,nan,nan,nan,nan,0.0,0.0,1.0,46.0,NONE,False,DR_TIMEOUT,False,DR_TIMEOUT,0.0,0.0,False,DR_TIMEOUT,0.0,False,1,0.0,0.0,90.0,4.0,nan,82.46211251235322,nan,nan,75.96375653207353,nan,-14.036243467926472,nan,14.036243467926472,nan,3.8805700005813275,False,False,False,False,True,False,False,,
F_DR_POSITION_JUMP,0,1005.2,FAIL,DR_POSITION_JUMP,False,False,True,False,True,False,False,nan,nan,nan,nan,0.0,0.0,1.0,5.2000000000000455,NONE,False,DR_POSITION_JUMP,False,DR_POSITION_JUMP,0.0,0.0,False,DR_POSITION_JUMP,0.0,False,1,20.800000000000182,1.2736326711132585e-15,90.0,4.0,nan,62.48711867257106,nan,nan,71.33308572577972,nan,-18.666914274220268,nan,18.666914274220268,nan,3.7895810373465575,False,False,False,False,True,False,False,SPEED_BARO,True
G_BARO_SPIKE_DEGRADATION,0,1005.2,DR_M_G_CLOSED,DR_M_G_CLOSED,True,False,True,True,False,True,True,20.79999999998468,0.0,4.0,90.0,20.79999999998468,0.0,0.9959999999999991,5.2000000000000455,GYRO_INTEGRATION,True,DR_M_G_CLOSED,True,DR_M_G_CLOSED,-12.176716867195012,35.0,True,OK,-35.278378311490854,False,1,20.800000000000182,1.2736326711132585e-15,90.0,4.0,62.487118672585744,62.48711867257106,1.468691834816127e-11,71.33308572578429,71.33308572577972,-18.666914274215713,-18.666914274220268,18.666914274215713,18.666914274220268,3.789581037346659,3.7895810373465575,False,False,True,True,True,True,False,SPEED_LASTV,
H_GYRO_SPIKE_DEGRADATION,0,1005.2,DR_PM_YBA_OPEN,DR_PM_YBA_OPEN,False,False,True,True,True,True,True,2.2,1.3471114790620887e-16,4.4,90.0,2.2,1.3471114790620887e-16,0.9959999999999991,5.2000000000000455,YAW_DELTA,True,DR_PM_YBA_OPEN,True,DR_PM_YBA_OPEN,-10.419285640500204,20.0,True,OK,-37.969938727327516,False,1,20.800000000000182,1.2736326711132585e-15,90.0,4.0,80.3295711428861,62.48711867257106,17.84245247031504,75.58317422208754,71.33308572577972,-14.416825777912464,-18.666914274220268,14.416825777912464,18.666914274220268,4.261444386290807,3.7895810373465575,False,False,True,True,True,False,False,SPEED_BARO,
I_TARGET_POINTING_TRUTH_NAV_SPLIT,0,1005.2,DR_PM_GBA_CLOSED,DR_PM_GBA_CLOSED,False,False,True,True,True,True,True,2.2,1.3471114790620887e-16,4.4,90.0,2.2,1.3471114790620887e-16,0.9959999999999991,5.2000000000000455,GYRO_ACC_BLEND,True,DR_PM_GBA_CLOSED,True,DR_PM_GBA_CLOSED,-10.419285640500204,45.0,True,OK,-17.112406157195633,False,1,20.800000000000182,1.2736326711132585e-15,90.0,4.0,80.3295711428861,62.48711867257106,17.84245247031504,75.58317422208754,71.33308572577972,-14.416825777912464,-18.666914274220268,14.416825777912464,18.666914274220268,4.261444386290807,3.7895810373465575,False,False,True,True,True,False,False,SPEED_BARO,
I_TARGET_POINTING_TRUTH_NAV_SPLIT,1,1005.4000000000001,DR_PM_GBA_CLOSED,DR_PM_GBA_CLOSED,False,False,True,True,True,True,True,3.0800000000002004,1.8859560706870467e-16,4.4,90.0,3.0800000000002004,1.8859560706870467e-16,0.9919999999999982,5.400000000000091,GYRO_ACC_BLEND,True,DR_PM_GBA_CLOSED,True,DR_PM_GBA_CLOSED,-10.48868561453251,45.0,True,OK,-18.495562868956142,False,1,21.600000000000183,1.3226185430791527e-15,90.0,4.0,79.47758426122405,61.72973351635319,17.74785074487086,75.42522563557534,71.0954241573883,-14.574774364424654,-18.904575842611713,14.574774364424654,18.904575842611713,4.258408243607412,3.784237946501339,True,True,True,True,True,False,False,SPEED_BARO,
I_TARGET_POINTING_TRUTH_NAV_SPLIT,2,1005.6,DR_PM_GBA_CLOSED,DR_PM_GBA_CLOSED,False,False,True,True,True,True,True,3.9599999999999005,2.4248006623116983e-16,4.4,90.0,3.9599999999999005,2.4248006623116983e-16,0.9879999999999995,5.600000000000023,GYRO_ACC_BLEND,True,DR_PM_GBA_CLOSED,True,DR_PM_GBA_CLOSED,-10.559506750303642,45.0,True,OK,-19.89012214814404,False,1,22.400000000000183,1.371604415045047e-15,90.0,4.0,78.6262144580293,60.973436839331754,17.65277761869754,75.26385524519802,70.85186254206035,-14.736144754801979,-19.14813745793965,14.736144754801979,19.14813745793965,4.255272904924061,3.778694656939144,True,True,True,True,True,False,False,SPEED_BARO,
I_TARGET_POINTING_TRUTH_NAV_SPLIT,3,1005.8000000000001,DR_PM_GBA_CLOSED,DR_PM_GBA_CLOSED,False,False,True,True,True,True,True,4.840000000000101,2.963645253936656e-16,4.4,90.0,4.840000000000101,2.963645253936656e-16,0.9839999999999987,5.800000000000068,GYRO_ACC_BLEND,True,DR_PM_GBA_CLOSED,True,DR_PM_GBA_CLOSED,-10.631791262251255,45.0,True,OK,-21.296356176897696,False,1,23.200000000000184,1.4205902870109412e-15,90.0,4.0,77.77548199786347,60.21826965298803,17.55721234487544,75.09895328356035,70.60218755144172,-14.901046716439652,-19.397812448558284,14.901046716439652,19.397812448558284,4.2520340794427245,3.7729413566556307,True,True,True,True,True,False,False,SPEED_BARO,
I_TARGET_POINTING_TRUTH_NAV_SPLIT,4,1006.0,DR_PM_GBA_CLOSED,DR_PM_GBA_CLOSED,False,False,True,True,True,True,True,5.719999999999801,3.502489845561308e-16,4.4,90.0,5.719999999999801,3.502489845561308e-16,0.98,6.0,GYRO_ACC_BLEND,True,DR_PM_GBA_CLOSED,True,DR_PM_GBA_CLOSED,-10.705582962179097,45.0,True,OK,-22.71454646638709,False,1,24.000000000000185,1.4695761589768354e-15,90.0,4.0,76.92540802621738,59.46427498927385,17.461133036943536,74.93040535988703,70.34617594194664,-15.069594640112964,-19.65382405805336,15.069594640112964,19.65382405805336,4.248687246333636,3.7669676463793484,True,True,True,True,True,False,False,SPEED_BARO,
I_TARGET_POINTING_TRUTH_NAV_SPLIT,5,1006.2,DR_PM_GBA_CLOSED,DR_PM_GBA_CLOSED,False,False,True,True,True,True,True,6.600000000000001,4.041334437186266e-16,4.4,90.0,6.600000000000001,4.041334437186266e-16,0.9759999999999991,6.2000000000000455,GYRO_ACC_BLEND,True,DR_PM_GBA_CLOSED,True,DR_PM_GBA_CLOSED,-10.78092732979707,45.0,True,OK,-24.144984259104085,False,1,24.800000000000185,1.5185620309427296e-15,90.0,4.0,76.07601461696059,58.711498022107904,17.364516594852688,74.7580922211981,70.08359400619085,-15.241907778801906,-19.916405993809146,15.241907778801906,19.916405993809146,4.245227640092472,3.7607624986311317,True,True,True,True,True,False,False,SPEED_BARO,
